passage_id,chapter,section,subsection,page,text
p001,Academic Policies,Registration,,107,Students must register for courses during the designated registration period each semester.
p002,Academic Policies,Registration,,104,Late registration requires approval from the academic dean and may incur additional fees.
p003,Academic Policies,Registration,,279,Course registration is finalized once payment of tuition and fees is confirmed by the bursar.
p004,Academic Policies,Registration,,14,Students are responsible for verifying their course schedule accuracy before the add-drop deadline.
p005,Academic Policies,Registration,,361,Web registration is available to all students with no outstanding financial or academic holds.
p006,Academic Policies,Registration,,124,First-year students must meet with their academic advisor before registering for courses.
p007,Academic Policies,Registration,,72,Registration priority is determined by class standing and cumulative grade point average.
p008,Academic Policies,Registration,,318,Students may not register for more than 20 credit hours in a single semester without special permission.
p009,Academic Policies,Registration,,175,Waitlisted courses will be automatically added if space becomes available during registration. Additional details are available in the student handbook.
p010,Academic Policies,Registration,,81,Cross-registration with partner institutions requires prior approval from both registrars.
p011,Academic Policies,Add and Drop,,71,The add-drop period extends through the second week of the semester for standard courses.
p012,Academic Policies,Add and Drop,,182,Students may add courses without penalty during the first week of the semester.
p013,Academic Policies,Add and Drop,,236,Dropping a course after the add-drop deadline results in a withdrawal notation on the transcript. Policies are subject to change by faculty vote.
p014,Academic Policies,Add and Drop,,122,Courses dropped during the add-drop period do not appear on the official academic transcript.
p015,Academic Policies,Add and Drop,,130,Students must maintain a minimum of 12 credit hours after the add-drop period to remain full-time. Questions should be directed to the appropriate administrative office.
p016,Academic Policies,Add and Drop,,341,Laboratory and studio courses may have earlier add-drop deadlines than lecture courses.
p017,Academic Policies,Grading,,242,The university employs a four-point grading scale with plus and minus designations.
p018,Academic Policies,Grading,,22,A grade of incomplete may be assigned when a student has satisfactorily completed most coursework.
p019,Academic Policies,Grading,,371,Incomplete grades must be resolved within six weeks of the following semester.
p020,Academic Policies,Grading,,207,Pass-fail grading is available for elective courses outside the student's major department.
p021,Academic Policies,Grading,,44,Grade appeals must be submitted in writing to the department chair within thirty days.
p022,Academic Policies,Grading,,205,The grade point average is calculated by dividing quality points by attempted credit hours.
p023,Academic Policies,Grading,,229,Repeated courses replace the previous grade in the cumulative grade point average calculation. Policies are subject to change by faculty vote.
p024,Degree Requirements,General Education,,377,All students must complete the general education curriculum regardless of major.
p025,Degree Requirements,General Education,,20,"The general education program includes coursework in arts, humanities, natural sciences, and social sciences."
p026,Degree Requirements,General Education,,63,Students must demonstrate quantitative reasoning competency through approved mathematics courses.
p027,Degree Requirements,General Education,,53,Global citizenship requirements may be satisfied through study away or designated domestic programs.
p028,Degree Requirements,General Education,,182,First-year seminars introduce students to academic inquiry and university resources.
p029,Degree Requirements,General Education,,232,Writing and communication requirements ensure proficiency in academic and professional discourse.
p030,Degree Requirements,General Education,,22,General education courses may not be taken pass-fail except under extraordinary circumstances.
p031,Degree Requirements,Major Requirements,,371,Each major requires a minimum of ten courses at the 200-level or above.
p032,Degree Requirements,Major Requirements,,177,Major declarations are due by the end of the fourth semester of enrollment.
p033,Degree Requirements,Major Requirements,,320,Students must maintain a minimum grade point average of 2.0 in major coursework.
p034,Degree Requirements,Major Requirements,,187,Capstone projects integrate knowledge and skills acquired throughout the major curriculum.
p035,Degree Requirements,Major Requirements,,229,Independent study courses may count toward the major with departmental approval.
p036,Degree Requirements,Major Requirements,,302,Double majors require completion of all requirements for both programs without course overlap.
p037,Degree Requirements,Major Requirements,,221,Interdisciplinary majors combine coursework from multiple departments under a unified theme.
p038,Degree Requirements,Graduation,,332,Candidates for graduation must file a degree application by the deadline published by the registrar.
p039,Degree Requirements,Graduation,,124,All degree requirements must be completed by the date of commencement exercises. Additional details are available in the student handbook.
