passage_id,chapter,section,subsection,page,text,word_count,cluster,cluster_name,x,y
p001,Academic Policies,Registration,,107,Students must register for courses during the designated registration period each semester.,12,3,Registration,-0.027867989273818693,-0.10859118636629814
p002,Academic Policies,Registration,,104,Late registration requires approval from the academic dean and may incur additional fees.,13,5,Majors,-0.0026469980962449463,-0.11779618475864362
p003,Academic Policies,Registration,,279,Course registration is finalized once payment of tuition and fees is confirmed by the bursar.,15,5,Majors,0.0707737685770653,-0.0046894657811727605
p004,Academic Policies,Registration,,14,Students are responsible for verifying their course schedule accuracy before the add-drop deadline.,13,3,Registration,0.08987126949169244,-0.010931322561283482
p005,Academic Policies,Registration,,361,Web registration is available to all students with no outstanding financial or academic holds.,14,0,Support,-0.015608357249991656,-0.0276318011043936
p006,Academic Policies,Registration,,124,First-year students must meet with their academic advisor before registering for courses.,12,3,Registration,-0.06765228693985724,-0.06508116268768079
p007,Academic Policies,Registration,,72,Registration priority is determined by class standing and cumulative grade point average.,12,7,Grading,0.2815289097860854,-0.09800916339107557
p008,Academic Policies,Registration,,318,Students may not register for more than 20 credit hours in a single semester without special permission.,17,3,Registration,0.029057298137419675,-0.07041895006487507
p009,Academic Policies,Registration,,175,Waitlisted courses will be automatically added if space becomes available during registration. Additional details are available in the student handbook.,20,6,Graduation,0.010891769930681874,-0.12486139841635449
p010,Academic Policies,Registration,,81,Cross-registration with partner institutions requires prior approval from both registrars.,10,5,Majors,-0.06745531711212747,-0.05486162633993179
p011,Academic Policies,Add and Drop,,71,The add-drop period extends through the second week of the semester for standard courses.,14,3,Registration,0.04575694752902198,-0.08371663032272868
p012,Academic Policies,Add and Drop,,182,Students may add courses without penalty during the first week of the semester.,13,3,Registration,0.009024114361950095,-0.05823896939799344
p013,Academic Policies,Add and Drop,,236,Dropping a course after the add-drop deadline results in a withdrawal notation on the transcript. Policies are subject to change by faculty vote.,23,4,Campus Life,0.44033938651898863,-0.13129749869488164
p014,Academic Policies,Add and Drop,,122,Courses dropped during the add-drop period do not appear on the official academic transcript.,14,3,Registration,0.05054083037801307,-0.08887140173327324
p015,Academic Policies,Add and Drop,,130,Students must maintain a minimum of 12 credit hours after the add-drop period to remain full-time. Questions should be directed to the appropriate administrative office.,25,0,Support,0.06191979362151982,-0.080379480757262
p016,Academic Policies,Add and Drop,,341,Laboratory and studio courses may have earlier add-drop deadlines than lecture courses.,12,3,Registration,0.042287036459466826,0.06009986050695968
p017,Academic Policies,Grading,,242,The university employs a four-point grading scale with plus and minus designations.,12,7,Grading,0.09534753598984659,-0.019983987711100413
p018,Academic Policies,Grading,,22,A grade of incomplete may be assigned when a student has satisfactorily completed most coursework.,15,6,Graduation,0.16185550199125362,-0.1019738339087633
p019,Academic Policies,Grading,,371,Incomplete grades must be resolved within six weeks of the following semester.,12,3,Registration,0.020883802278167978,-0.0029406346916584355
p020,Academic Policies,Grading,,207,Pass-fail grading is available for elective courses outside the student's major department.,12,2,Curriculum,0.0843898246788802,-0.09695633954589498
p021,Academic Policies,Grading,,44,Grade appeals must be submitted in writing to the department chair within thirty days.,14,7,Grading,0.08251569863467853,-0.031058094748252087
p022,Academic Policies,Grading,,205,The grade point average is calculated by dividing quality points by attempted credit hours.,14,7,Grading,0.2278322154510974,-0.1107879513575506
